ID,adj.P.Val,P.Value,t,B,logFC,GB_ACC,GI,Gene.Symbol,SPOT_ID
11737239_x_at,3.85E-02,1.19E-02,2.69,-3.587199,2.00E-01,NM_005442.2,NA,EOMES,
11751142_x_at,3.85E-02,1.19E-02,2.69,-3.587374,1.86E-01,AK293711.1,NA,APBB1,
11755075_s_at,3.85E-02,1.19E-02,2.69,-3.587376,3.25E-01,AK094022.1,NA,NADSYN1,
11732444_a_at,3.85E-02,1.19E-02,2.69,-3.587459,9.73E-01,NM_006867.2,NA,RBPMS,
11728271_at,3.85E-02,1.19E-02,-2.69,-3.587547,-2.29E-01,BC004421.1,NA,ZNF330,
11720856_a_at,3.85E-02,1.19E-02,2.69,-3.588027,4.88E-01,W84556,NA,INSR,
11723507_s_at,3.85E-02,1.19E-02,2.69,-3.588413,3.73E-01,AW165979,NA,ZNF609,
11749526_a_at,3.85E-02,1.19E-02,-2.69,-3.588626,-3.58E-01,AK304862.1,NA,STK38L,
11754192_s_at,3.85E-02,1.19E-02,-2.69,-3.588682,-2.05E-01,CR614713.1,NA,SRSF11,
11749723_a_at,3.85E-02,1.19E-02,-2.69,-3.588693,-6.25E-01,AB049740.2,NA,FUT8,
11731306_a_at,3.85E-02,1.19E-02,2.69,-3.588758,5.42E-01,NM_001139459.1,NA,CNST,
11726275_a_at,3.85E-02,1.19E-02,-2.69,-3.58947,-2.54E-01,NM_021934.4,NA,ATG101,
11717041_at,3.85E-02,1.19E-02,2.69,-3.589677,2.95E-01,NM_004687.4,NA,MTMR4,
11760398_at,3.86E-02,1.19E-02,-2.69,-3.589822,-2.19E-01,AK292677.1,NA,PHBP19,
11743394_a_at,3.86E-02,1.19E-02,-2.69,-3.589914,-4.49E-01,BE962738,NA,AIG1,
11735704_x_at,3.86E-02,1.19E-02,2.69,-3.590022,6.58E-01,NM_005946.2,NA,MT1A /// MT1P3,
11722731_a_at,3.86E-02,1.19E-02,2.69,-3.5902,4.17E-01,BC028599.2,NA,APPL1,
11742583_at,3.86E-02,1.19E-02,2.69,-3.59113,1.75E-01,NM_001005465.1,NA,OR10G3,
11737772_x_at,3.86E-02,1.19E-02,-2.69,-3.591243,-2.56E-01,BC136719.1,NA,ZNF93,
11715283_at,3.86E-02,1.19E-02,-2.69,-3.592235,-1.53E-01,,63054823,CCKAR,
11729066_a_at,3.86E-02,1.19E-02,2.69,-3.592298,5.03E-01,NM_006385.3,NA,ZNF211,
11753168_a_at,3.87E-02,1.19E-02,-2.68,-3.592887,-1.61E-01,AY256444.1,NA,MMP13,
11716348_s_at,3.87E-02,1.19E-02,-2.68,-3.593285,-3.46E-01,BU183854,NA,EFCAB14,
11720347_s_at,3.87E-02,1.20E-02,2.68,-3.593758,1.65E-01,NM_024835.2,NA,GGNBP2,
11737925_x_at,3.87E-02,1.20E-02,-2.68,-3.593854,-1.73E-01,BC128045.1,NA,CTAG2,
11716342_s_at,3.87E-02,1.20E-02,-2.68,-3.594113,-2.76E-01,NM_014287.3,NA,LOC101060373 /// LOC102723728 /// NOMO1 /// NOMO2 /// NOMO3,
11741350_a_at,3.87E-02,1.20E-02,2.68,-3.594212,2.62E-01,NM_001157.2,NA,ANXA11,
11750383_a_at,3.87E-02,1.20E-02,-2.68,-3.594241,-3.14E-01,AK294511.1,NA,ZMYND8,
11758009_s_at,3.87E-02,1.20E-02,-2.68,-3.594471,-4.36E-01,AI240806,NA,AMPD3,
11762561_at,3.87E-02,1.20E-02,-2.68,-3.594635,-1.90E-01,BC093099.1,NA,SLC35E4,
11762695_at,3.87E-02,1.20E-02,2.68,-3.595339,3.14E-01,AF090937.1,NA,SORBS2,
11749960_a_at,3.87E-02,1.20E-02,-2.68,-3.595399,-2.46E-01,AK294134.1,NA,PSMF1,
11746314_s_at,3.87E-02,1.20E-02,2.68,-3.595419,4.89E-01,BC032656.1,NA,TCF7L2,
11762638_x_at,3.87E-02,1.20E-02,2.68,-3.595534,1.75E-01,AB072358.1,NA,SSH2,
11732513_a_at,3.88E-02,1.20E-02,2.68,-3.595918,4.07E-01,AF239666.1,NA,CDX1,
11761943_x_at,3.88E-02,1.20E-02,-2.68,-3.596099,-1.63E-01,BC005241.1,NA,MRE11A,
11722235_a_at,3.88E-02,1.20E-02,-2.68,-3.596155,-5.51E-01,NM_012168.4,NA,FBXO2,
11725876_at,3.88E-02,1.20E-02,2.68,-3.596183,2.00E-01,NM_178172.3,NA,GPIHBP1,
11743428_a_at,3.88E-02,1.20E-02,2.68,-3.596278,4.82E-01,AA541630,NA,RUNX3,
11745569_s_at,3.88E-02,1.20E-02,-2.68,-3.596733,-6.31E-01,BC121074.2,NA,LOC100996732 /// LOC645166 /// LOC654342 /// LSP1 /// LSP1P3,
11716890_a_at,3.88E-02,1.20E-02,-2.68,-3.597007,-3.05E-01,BC009510.2,NA,TMEM261,
11750987_x_at,3.88E-02,1.20E-02,2.68,-3.597363,1.76E-01,AB177543.1,NA,TNIP1,
11745785_a_at,3.88E-02,1.20E-02,-2.68,-3.597415,-1.87E-01,AK297832.1,NA,LOC148413,
11750731_a_at,3.88E-02,1.20E-02,2.68,-3.597486,1.42E-01,AK299499.1,NA,EOMES,
11759052_at,3.88E-02,1.20E-02,2.68,-3.597514,4.68E-01,AK126720.1,NA,ZBTB46,
11754339_a_at,3.88E-02,1.20E-02,2.68,-3.597587,2.48E-01,AK097946.1,NA,NADSYN1,
11741724_at,3.88E-02,1.20E-02,2.68,-3.597666,1.73E-01,NM_001001685.1,NA,FLJ45079,
11737983_a_at,3.88E-02,1.20E-02,-2.68,-3.597901,-4.38E-01,NM_032687.3,NA,CYHR1,
11729925_a_at,3.88E-02,1.20E-02,-2.68,-3.598475,-1.31E-01,BC022243.1,NA,TET3,
11721836_x_at,3.88E-02,1.20E-02,-2.68,-3.598678,-2.38E-01,NM_030969.3,NA,TMEM14B,
11758940_at,3.88E-02,1.20E-02,2.68,-3.598864,1.66E-01,BM994843,NA,MOB1A,
11748758_a_at,3.89E-02,1.20E-02,2.68,-3.599199,8.48E-01,AK302137.1,NA,SLC2A5,
11736093_a_at,3.89E-02,1.20E-02,-2.68,-3.599343,-2.02E-01,NM_024321.3,NA,RBM42,
11725526_at,3.89E-02,1.20E-02,-2.68,-3.599772,-2.53E-01,NM_018111.2,NA,C19orf73,
11736113_at,3.89E-02,1.20E-02,-2.68,-3.600857,-3.67E-01,AY643712.1,NA,ARHGAP18,
11758043_s_at,3.89E-02,1.20E-02,-2.68,-3.600909,-3.83E-01,BX392943,NA,IER2,
11747888_a_at,3.89E-02,1.21E-02,-2.68,-3.601581,-6.00E-01,AK292312.1,NA,SH3YL1,
11740476_a_at,3.89E-02,1.21E-02,-2.68,-3.60166,-1.80E-01,NM_001143836.1,NA,NOX4,
11736010_at,3.89E-02,1.21E-02,-2.68,-3.601669,-5.08E-01,AA928506,NA,RSL1D1,
11738832_x_at,3.90E-02,1.21E-02,-2.68,-3.602592,-3.46E-01,NM_018962.2,NA,RIPPLY3,
11731928_a_at,3.90E-02,1.21E-02,-2.68,-3.602685,-5.39E-01,NM_152358.2,NA,IZUMO2,
11745050_a_at,3.90E-02,1.21E-02,-2.68,-3.602837,-1.81E-01,BC057809.1,NA,ALCAM,
11722245_a_at,3.90E-02,1.21E-02,-2.68,-3.602867,-2.58E-01,NM_030783.1,NA,PTDSS2,
11733467_a_at,3.90E-02,1.21E-02,2.68,-3.602871,1.90E-01,NM_181361.1,NA,KCNMB2,
11749451_a_at,3.90E-02,1.21E-02,2.68,-3.603523,4.08E-01,AK296697.1,NA,DERA,
11721004_x_at,3.90E-02,1.21E-02,2.68,-3.603619,3.79E-01,BC006460.1,NA,HEXIM1,
11721538_a_at,3.90E-02,1.21E-02,2.68,-3.603943,2.89E-01,NM_005713.2,NA,COL4A3BP,
11758894_at,3.90E-02,1.21E-02,2.68,-3.604268,4.65E-01,AF196185.1,NA,PARD3,
11738795_at,3.90E-02,1.21E-02,-2.68,-3.604501,-1.52E-01,NM_033187.1,NA,KRTAP4-3,
11750391_a_at,3.90E-02,1.21E-02,2.68,-3.604514,3.66E-01,AK074238.1,NA,IL17RE,
11724705_s_at,3.90E-02,1.21E-02,2.68,-3.60469,1.15E-01,NM_015879.2,NA,ST8SIA3,
11751638_a_at,3.90E-02,1.21E-02,2.68,-3.605115,2.34E-01,BC008183.1,NA,NT5C,
11734118_a_at,3.90E-02,1.21E-02,2.68,-3.605133,3.61E-01,AK291722.1,NA,BTN3A3,
11729413_a_at,3.91E-02,1.21E-02,-2.68,-3.605496,-4.18E-01,NM_001127245.1,NA,LRRC8A,
11725231_a_at,3.91E-02,1.21E-02,-2.68,-3.605955,-2.80E-01,NM_025114.3,NA,CEP290,
11748725_a_at,3.91E-02,1.21E-02,-2.68,-3.606218,-1.77E-01,AK301528.1,NA,PHEX,
11738472_at,3.91E-02,1.21E-02,-2.68,-3.60651,-2.15E-01,NM_001009562.4,NA,SLCO1B7,
11721630_at,3.91E-02,1.21E-02,2.68,-3.607425,6.43E-01,CA771933,NA,MAFB,
11726890_a_at,3.91E-02,1.21E-02,-2.68,-3.607488,-3.67E-01,NM_001006618.1,NA,MAPKAP1,
11731430_a_at,3.91E-02,1.21E-02,2.68,-3.607493,5.48E-01,NM_000784.3,NA,CYP27A1,
11717421_a_at,3.91E-02,1.21E-02,-2.68,-3.607546,-1.90E-01,AK292816.1,NA,SLC35A2,
11758781_at,3.91E-02,1.21E-02,2.68,-3.607694,5.10E-01,BX504767,NA,EMP1,
11727294_s_at,3.91E-02,1.21E-02,-2.68,-3.608095,-3.49E-01,BC137413.1,NA,ALG10 /// ALG10B,
11754984_s_at,3.92E-02,1.21E-02,2.68,-3.608609,6.08E-01,BC000280.1,NA,MYH10,
11726340_a_at,3.92E-02,1.21E-02,-2.68,-3.608611,-3.35E-01,NM_177533.3,NA,NUDT14,
11715258_s_at,3.92E-02,1.22E-02,-2.68,-3.608987,-2.19E-01,,46276862,PTMS,
11723180_a_at,3.92E-02,1.22E-02,2.68,-3.609242,3.12E-01,BC020921.2,NA,ITSN2,
11717680_at,3.92E-02,1.22E-02,2.68,-3.609503,3.95E-01,NM_006377.3,NA,UNC13B,
11715442_s_at,3.92E-02,1.22E-02,2.68,-3.60977,6.54E-01,NM_001901.2,NA,CTGF,
11731089_a_at,3.92E-02,1.22E-02,2.68,-3.610399,3.21E-01,NM_001355.3,NA,DDT /// DDTL,
11730868_a_at,3.92E-02,1.22E-02,-2.68,-3.610915,-1.99E-01,NM_014623.2,NA,MEA1,
11719008_a_at,3.92E-02,1.22E-02,-2.68,-3.61096,-3.56E-01,AI683441,NA,PAPOLA,
11760966_a_at,3.93E-02,1.22E-02,-2.68,-3.611511,-3.48E-01,AK296155.1,NA,SLC25A14,
11719783_at,3.93E-02,1.22E-02,-2.68,-3.611963,-2.00E-01,D14530.1,NA,RPS23,
11753123_a_at,3.93E-02,1.22E-02,2.68,-3.611976,1.63E-01,AK295351.1,NA,CNP,
11735436_at,3.93E-02,1.22E-02,-2.68,-3.612048,-1.52E-01,NM_052929.1,NA,FHAD1,
11761820_at,3.93E-02,1.22E-02,-2.68,-3.612089,-1.84E-01,AK296878.1,NA,EDEM2,
11721352_at,3.93E-02,1.22E-02,2.68,-3.612134,9.19E-01,BC033040.1,NA,SLC1A1,
11736363_s_at,3.93E-02,1.22E-02,2.68,-3.612406,7.64E-01,AK055635.1,NA,MEDAG,
11728600_at,3.94E-02,1.22E-02,-2.68,-3.61453,-3.87E-01,NM_152644.2,NA,FAM24B,
11736182_x_at,3.94E-02,1.22E-02,2.68,-3.614649,1.64E-01,NM_023931.2,NA,ZNF747,
11758994_at,3.94E-02,1.22E-02,2.67,-3.615536,4.14E-01,CK299276,NA,FAR2,
11722999_x_at,3.94E-02,1.22E-02,2.67,-3.615725,2.11E-01,BC003395.1,NA,UBE2D3,
11754972_s_at,3.95E-02,1.23E-02,2.67,-3.616907,2.62E-01,AK127775.1,NA,BAZ2A,
11734425_a_at,3.95E-02,1.23E-02,2.67,-3.616999,1.91E-01,NM_022124.4,NA,CDH23,
11734232_a_at,3.96E-02,1.23E-02,2.67,-3.618911,1.99E-01,BC099717.1,NA,CSAD,
11721494_at,3.96E-02,1.23E-02,-2.67,-3.61901,-1.55E-01,NM_018383.3,NA,WDR33,
11754424_a_at,3.96E-02,1.23E-02,2.67,-3.619559,4.15E-01,AK127763.1,NA,ST5,
11755515_s_at,3.96E-02,1.23E-02,-2.67,-3.619849,-1.69E-01,AK057374.1,NA,DDI2 /// RSC1A1,
11729944_at,3.96E-02,1.23E-02,-2.67,-3.61996,-5.83E-01,NM_178537.4,NA,B4GALNT4,
11756761_x_at,3.96E-02,1.23E-02,-2.67,-3.62005,-2.95E-01,CR616283.1,NA,SQSTM1,
11728168_a_at,3.96E-02,1.23E-02,-2.67,-3.62014,-1.58E-01,BC113621.1,NA,KAZN,
11729778_a_at,3.96E-02,1.23E-02,2.67,-3.621419,2.99E-01,NM_001144663.1,NA,CDH17,
11746112_x_at,3.97E-02,1.23E-02,-2.67,-3.621927,-2.45E-01,AK300258.1,NA,MPHOSPH8,
11742913_a_at,3.97E-02,1.23E-02,2.67,-3.622099,6.15E-01,NM_001080489.1,NA,GLOD5,
11719026_a_at,3.97E-02,1.23E-02,2.67,-3.622525,6.80E-01,NM_015310.3,NA,PSD3,
11733901_a_at,3.97E-02,1.23E-02,2.67,-3.622761,3.19E-01,BF307264,NA,UQCRQ,
11752979_a_at,3.97E-02,1.23E-02,-2.67,-3.622844,-4.12E-01,AK293495.1,NA,ABHD12,
11741643_x_at,3.97E-02,1.23E-02,-2.67,-3.622982,-2.47E-01,M30608.1,NA,ZFX,
11752590_s_at,3.97E-02,1.23E-02,-2.67,-3.623116,-1.39E-01,AK292685.1,NA,CCR2,
11758250_s_at,3.97E-02,1.23E-02,2.67,-3.623273,2.66E-01,AV694424,NA,FBXL3,
11763311_a_at,3.97E-02,1.23E-02,2.67,-3.623296,1.97E-01,AK096950.1,NA,CSNK1D,
11760647_x_at,3.97E-02,1.24E-02,-2.67,-3.623978,-1.72E-01,BC022297.1,NA,DGKE,
11720273_at,3.97E-02,1.24E-02,-2.67,-3.624081,-2.90E-01,NM_032740.3,NA,SFT2D3,
11749046_a_at,3.97E-02,1.24E-02,-2.67,-3.624388,-3.05E-01,AK298322.1,NA,WWOX,
11755503_x_at,3.97E-02,1.24E-02,2.67,-3.624623,1.67E-01,AK026846.1,NA,UBC,
11728832_at,3.98E-02,1.24E-02,-2.67,-3.624936,-1.03,M76482.1,NA,DSG3,
11749502_a_at,3.98E-02,1.24E-02,2.67,-3.625299,1.57E-01,AK297459.1,NA,RELN,
11719698_x_at,3.98E-02,1.24E-02,-2.67,-3.625927,-3.18E-01,NM_016126.2,NA,HSPB11,
11732155_a_at,3.98E-02,1.24E-02,-2.67,-3.626158,-5.58E-01,BC014434.1,NA,OGT,
11751560_a_at,3.98E-02,1.24E-02,2.67,-3.626378,1.57E-01,AK297481.1,NA,ROBO1,
11724413_s_at,3.98E-02,1.24E-02,2.67,-3.62644,3.27E-01,BQ024839,NA,PPARA,
11748383_a_at,3.98E-02,1.24E-02,-2.67,-3.626537,-2.61E-01,AK289857.1,NA,PAPD7,
11722343_at,3.98E-02,1.24E-02,-2.67,-3.627386,-3.13E-01,NM_144693.1,NA,ZNF558,
11735586_x_at,3.98E-02,1.24E-02,2.67,-3.627421,2.14E-01,NM_007153.2,NA,ZNF208,
11725227_at,3.99E-02,1.24E-02,2.67,-3.627646,2.08E-01,NM_004154.3,NA,P2RY6,
11721291_a_at,3.99E-02,1.24E-02,-2.67,-3.627754,-4.16E-01,J02931.1,NA,F3,
11724527_x_at,3.99E-02,1.24E-02,2.67,-3.628127,3.46E-01,CR533499.1,NA,FAHD1,
11759143_at,3.99E-02,1.24E-02,-2.67,-3.628447,-1.57E-01,BC010350.1,NA,TAF9B,
11744616_a_at,3.99E-02,1.24E-02,-2.67,-3.629096,-4.75E-01,BC018514.1,NA,SLC19A2,
11726072_a_at,3.99E-02,1.24E-02,-2.67,-3.629382,-3.30E-01,NM_014673.3,NA,EMC2,
11749922_x_at,3.99E-02,1.24E-02,2.67,-3.629668,1.34,BC065829.1,NA,TAGLN,
11716118_a_at,3.99E-02,1.24E-02,-2.67,-3.629854,-4.41E-01,BC006344.2,NA,PDIA4,
11735536_at,4.00E-02,1.25E-02,2.67,-3.631431,1.97E-01,NM_173658.1,NA,ZNF660,
11734933_s_at,4.00E-02,1.25E-02,-2.67,-3.63179,-3.10E-01,NM_003016.3,NA,SRSF2,
11718323_at,4.00E-02,1.25E-02,2.67,-3.632582,4.55E-01,AK290369.1,NA,ACAP2,
11757434_a_at,4.01E-02,1.25E-02,-2.67,-3.633478,-3.50E-01,AI935026,NA,C1QBP,
11764156_s_at,4.01E-02,1.25E-02,-2.67,-3.635021,-3.11E-01,AV704631,NA,TMEM41B,
11733904_at,4.01E-02,1.25E-02,-2.67,-3.63512,-4.86E-01,NM_016052.3,NA,RRP15,
11737190_a_at,4.02E-02,1.25E-02,-2.67,-3.63569,-1.58E-01,NM_018392.3,NA,ZGRF1,
11752723_a_at,4.02E-02,1.25E-02,2.67,-3.635756,2.62E-01,AK304426.1,NA,CD200R1,
11724087_x_at,4.02E-02,1.25E-02,-2.67,-3.635961,-1.94E-01,BC020368.1,NA,FIZ1,
11728802_a_at,4.02E-02,1.25E-02,-2.67,-3.636323,-2.88E-01,AK300918.1,NA,PAPD5,
11736154_a_at,4.02E-02,1.25E-02,2.67,-3.636544,3.39E-01,AK074789.1,NA,XPR1,
11718326_at,4.02E-02,1.25E-02,-2.66,-3.636595,-5.72E-01,NM_015691.3,NA,WWC3,
11724113_a_at,4.02E-02,1.25E-02,-2.66,-3.637605,-1.79E-01,BC008874.2,NA,SIX1,
11720690_a_at,4.02E-02,1.25E-02,-2.66,-3.637687,-3.46E-01,NM_017877.3,NA,SLC35F6,
11744782_a_at,4.02E-02,1.25E-02,-2.66,-3.638018,-6.54E-01,EF125210.1,NA,MORC4,
11755243_a_at,4.02E-02,1.25E-02,-2.66,-3.638026,-3.90E-01,AK297207.1,NA,SMG7,
11730491_at,4.02E-02,1.25E-02,2.66,-3.638027,2.05E-01,NM_001080457.1,NA,LRRC4B,
11728345_a_at,4.03E-02,1.26E-02,-2.66,-3.638467,-2.58E-01,NM_005513.2,NA,GTF2E1,
11729196_a_at,4.03E-02,1.26E-02,-2.66,-3.638501,-4.25E-01,BE782754,NA,STX16,
11715741_at,4.03E-02,1.26E-02,-2.66,-3.639091,-2.12E-01,BC042141.1,NA,RCC2,
11732968_at,4.03E-02,1.26E-02,-2.66,-3.639201,-1.74E-01,NM_003537.3,NA,HIST1H3B,
11728904_a_at,4.03E-02,1.26E-02,2.66,-3.640613,6.23E-01,BC098136.1,NA,SATB2,
11759836_at,4.03E-02,1.26E-02,-2.66,-3.640771,-4.52E-01,BC093035.1,NA,RHOBTB1,
11723725_x_at,4.04E-02,1.26E-02,-2.66,-3.641041,-3.30E-01,AF533230.1,NA,USP32,
11728146_a_at,4.04E-02,1.26E-02,2.66,-3.641115,6.30E-01,NM_173039.1,NA,AQP11,
11749315_a_at,4.04E-02,1.26E-02,2.66,-3.641452,1.99E-01,AK315949.1,NA,HMP19,
11759487_at,4.04E-02,1.26E-02,2.66,-3.641945,2.83E-01,BQ447317,NA,ARHGEF40,
11753746_a_at,4.04E-02,1.26E-02,-2.66,-3.641951,-2.18E-01,AF226076.1,NA,CHRAC1,
11730198_s_at,4.04E-02,1.26E-02,-2.66,-3.642124,-2.33E-01,NM_138501.4,NA,TECR,
11715518_a_at,4.04E-02,1.26E-02,-2.66,-3.64259,-3.27E-01,NM_014730.2,NA,MLEC,
11753647_a_at,4.05E-02,1.26E-02,-2.66,-3.643653,-3.15E-01,BT006972.1,NA,DR1,
11732512_a_at,4.05E-02,1.26E-02,2.66,-3.644086,3.23E-01,U51095.1,NA,CDX1,
11754257_a_at,4.05E-02,1.26E-02,2.66,-3.644126,2.51E-01,AW071642,NA,C15orf57,
11754968_a_at,4.05E-02,1.26E-02,2.66,-3.644268,1.63E-01,BC040063.1,NA,PITPNM2,
11752537_s_at,4.05E-02,1.26E-02,2.66,-3.644352,1.55E-01,AK302703.1,NA,MROH7 /// MROH7-TTC4,
11753386_s_at,4.05E-02,1.26E-02,-2.66,-3.644357,-4.46E-01,BC107148.1,NA,ST13 /// ST13P4,
11720272_at,4.05E-02,1.26E-02,2.66,-3.644375,1.90E-01,NM_182970.2,NA,RIMS4,
11750560_s_at,4.05E-02,1.26E-02,2.66,-3.644694,2.58E-01,BC110642.1,NA,FAM168B,
11731238_at,4.05E-02,1.26E-02,-2.66,-3.644815,-2.33E-01,NM_024915.3,NA,GRHL2,
11747058_a_at,4.05E-02,1.26E-02,-2.66,-3.644883,-3.62E-01,BC018028.1,NA,DTWD1,
11725818_a_at,4.05E-02,1.26E-02,-2.66,-3.645532,-1.91E-01,AK291232.1,NA,PAQR3,
11733629_a_at,4.05E-02,1.26E-02,-2.66,-3.645661,-5.46E-01,BC077730.1,NA,MANEAL,
11763871_at,4.05E-02,1.26E-02,-2.66,-3.645738,-3.58E-01,CR613457.1,NA,---,
11742184_a_at,4.05E-02,1.27E-02,2.66,-3.645932,6.77E-01,NM_001127717.1,NA,LAMA3,
11732161_at,4.05E-02,1.27E-02,-2.66,-3.645983,-2.41E-01,BM547694,NA,ZCRB1,
11753972_a_at,4.06E-02,1.27E-02,-2.66,-3.647246,-1.84E-01,AK304870.1,NA,COL6A3,
11756975_s_at,4.06E-02,1.27E-02,2.66,-3.647337,3.32E-01,CR620143.1,NA,TBX2,
11743921_at,4.06E-02,1.27E-02,2.66,-3.647389,2.67E-01,BG469280,NA,TMEM125,
11717306_x_at,4.06E-02,1.27E-02,2.66,-3.64752,1,BC004471.2,NA,ADIRF,
11726528_at,4.06E-02,1.27E-02,-2.66,-3.647534,-3.11E-01,NM_152450.2,NA,FAM81A,
11753021_x_at,4.06E-02,1.27E-02,2.66,-3.648156,1.77E-01,AY358980.1,NA,TOM1,
11715630_s_at,4.06E-02,1.27E-02,2.66,-3.648625,3.07E-01,NM_014713.4,NA,LAPTM4A,
11723064_a_at,4.07E-02,1.27E-02,-2.66,-3.6501,-1.92E-01,BC016010.1,NA,TMEM18,
11754892_x_at,4.07E-02,1.27E-02,-2.66,-3.650308,-4.30E-01,AK056016.1,NA,P3H4,
11720359_at,4.07E-02,1.27E-02,2.66,-3.650523,5.09E-01,NM_017934.5,NA,PHIP,
11718544_s_at,4.07E-02,1.27E-02,-2.66,-3.650836,-3.06E-01,NM_014155.4,NA,ZBTB44,
11756429_x_at,4.07E-02,1.27E-02,-2.66,-3.651019,-2.93E-01,CR618694.1,NA,OSTC,
11737536_a_at,4.07E-02,1.27E-02,-2.66,-3.651053,-1.62E-01,BC124554.1,NA,SAMD12,
11755528_a_at,4.07E-02,1.27E-02,-2.66,-3.651881,-1.91E-01,BC053499.1,NA,LOC399815,
11733913_at,4.07E-02,1.27E-02,-2.66,-3.651926,-5.58E-01,AF019386.1,NA,HS3ST1,
11733311_a_at,4.07E-02,1.27E-02,2.66,-3.652006,1.74E-01,NM_004845.3,NA,PCYT1B,
11723532_a_at,4.07E-02,1.27E-02,-2.66,-3.652139,-2.04E-01,BC006250.2,NA,BRMS1L,
11743545_a_at,4.07E-02,1.27E-02,-2.66,-3.652224,-3.75E-01,AW070805,NA,QDPR,
11754151_a_at,4.07E-02,1.27E-02,2.66,-3.652331,5.17E-01,AL834152.1,NA,STXBP5,
11723372_a_at,4.08E-02,1.27E-02,-2.66,-3.652867,-7.22E-01,NM_144658.3,NA,DOCK11,
11730941_a_at,4.08E-02,1.28E-02,2.66,-3.653009,2.83E-01,NM_153606.2,NA,FAM71A,
11719751_a_at,4.08E-02,1.28E-02,-2.66,-3.65307,-1.95E-01,NM_018052.3,NA,VAC14,
11746026_x_at,4.08E-02,1.28E-02,2.66,-3.653199,1.77E-01,AK300768.1,NA,MILR1,
11763062_x_at,4.08E-02,1.28E-02,-2.66,-3.653954,-1.70E-01,AY312371.1,NA,NPSR1-AS1,
11724011_at,4.08E-02,1.28E-02,-2.66,-3.654117,-2.59E-01,NM_001102396.1,NA,SIKE1,
11762245_a_at,4.08E-02,1.28E-02,-2.66,-3.654128,-2.33E-01,BC012081.1,NA,RMND1,
11730709_at,4.08E-02,1.28E-02,-2.66,-3.654309,-2.15E-01,NM_001128618.1,NA,C9orf57,
11753326_a_at,4.08E-02,1.28E-02,-2.66,-3.654525,-1.42E-01,AK304154.1,NA,GPR157,
11727438_at,4.08E-02,1.28E-02,-2.66,-3.654636,-2.60E-01,AK026771.1,NA,RALGAPB,
11716392_s_at,4.08E-02,1.28E-02,2.66,-3.654907,3.66E-01,AL522608,NA,ADH5,
11735216_a_at,4.08E-02,1.28E-02,-2.66,-3.655132,-3.19E-01,M83712.1,NA,CHRNA5,
11744960_a_at,4.08E-02,1.28E-02,-2.66,-3.655247,-3.21E-01,AK289881.1,NA,ZNF311,
11716888_s_at,4.09E-02,1.28E-02,2.66,-3.655551,3.46E-01,BC084537.1,NA,HEXA,
11743530_a_at,4.09E-02,1.28E-02,-2.66,-3.655962,-6.47E-01,BG532993,NA,CENPK,
11743554_x_at,4.09E-02,1.28E-02,-2.66,-3.656006,-1.92E-01,AJ005273.1,NA,KIN,
11744925_a_at,4.09E-02,1.28E-02,-2.66,-3.656631,-5.16E-01,BC013781.1,NA,TUBGCP3,
11744704_s_at,4.09E-02,1.28E-02,2.66,-3.657435,3.07E-01,D63997.1,NA,GOLGA3,
11759365_at,4.09E-02,1.28E-02,-2.66,-3.657792,-1.94E-01,AK292888.1,NA,GPR157,
11760757_at,4.10E-02,1.28E-02,-2.65,-3.658618,-1.75E-01,AK293853.1,NA,SLC18B1,
11721641_a_at,4.10E-02,1.28E-02,2.65,-3.658871,5.12E-01,U02390.1,NA,CAP2,
11757765_s_at,4.10E-02,1.28E-02,2.65,-3.65896,4.88E-01,AA401248,NA,SGCD,
11745343_a_at,4.10E-02,1.28E-02,-2.65,-3.659701,-2.08E-01,BC031654.1,NA,FAM53B,
11716574_at,4.10E-02,1.28E-02,-2.65,-3.659727,-2.75E-01,NM_018433.5,NA,KDM3A,
11746218_a_at,4.10E-02,1.29E-02,-2.65,-3.66037,-2.07E-01,AK300241.1,NA,TEAD2,
11747628_a_at,4.11E-02,1.29E-02,2.65,-3.661515,3.58E-01,AK294854.1,NA,VMP1,
11751822_a_at,4.11E-02,1.29E-02,-2.65,-3.662196,-1.90E-01,AK303455.1,NA,MCM6,
11755631_x_at,4.11E-02,1.29E-02,-2.65,-3.662541,-4.08E-01,AK026480.1,NA,RMND1,
11715531_at,4.12E-02,1.29E-02,2.65,-3.66379,2.07E-01,NM_006445.3,NA,PRPF8,
11731782_s_at,4.12E-02,1.29E-02,-2.65,-3.664485,-1.77E-01,NM_001017435.1,NA,CT45A1 /// CT45A10 /// CT45A2 /// CT45A3 /// CT45A4 /// CT45A5 /// CT45A6 /// CT45A7 /// CT45A8 /// CT45A9,
11743853_a_at,4.12E-02,1.29E-02,-2.65,-3.664517,-3.10E-01,AK001699.1,NA,FBXO21,
11725042_a_at,4.12E-02,1.29E-02,-2.65,-3.665054,-2.71E-01,AK292717.1,NA,YWHAB,
11745985_s_at,4.12E-02,1.29E-02,-2.65,-3.665424,-2.94E-01,AK302498.1,NA,SRRM1,
11718567_at,4.12E-02,1.29E-02,-2.65,-3.665564,-3.39E-01,BM995879,NA,KIAA1147,
11752382_a_at,4.12E-02,1.29E-02,2.65,-3.665599,2.90E-01,AK297005.1,NA,S1PR1,
11730433_a_at,4.13E-02,1.29E-02,2.65,-3.666182,2.60E-01,NM_032819.3,NA,ZNF341,
